sample,fastq_1,fastq_2,antibody,control
E0.4_H3K4Me3_ChIPSeq_1_REP1,results/basic_chip/fastq/E0.4_H3K4Me3_ChIPSeq_1.fastq.gz,,E0.4_H3K4Me3,E0.4_INPUT_REP1
E0.4_H3K4Me1_ChIPSeq_1_REP1,results/basic_chip/fastq/E0.4_H3K4Me1_ChIPSeq_1.fastq.gz,,E0.4_H3K4Me1,E0.4_INPUT_REP1
E0.4_H3K27Me3_ChIPSeq_1_REP1,results/basic_chip/fastq/E0.4_H3K27Me3_ChIPSeq_1.fastq.gz,,E0.4_H3K27Me3,E0.4_INPUT_REP1
E0.4_H3K27Ac_ChIPSeq_1_REP1,results/basic_chip/fastq/E0.4_H3K27Ac_ChIPSeq_1.fastq.gz,,E0.4_H3K27Ac,E0.4_INPUT_REP1
E0.4_INPUT_REP1,results/basic_chip/fastq/E0.4_INPUT.fastq.gz,,,
E4.8_INPUT_REP1,results/basic_chip/fastq/E4.8_INPUT.fastq.gz,,,
S2_CTCF200_INPUT_1_REP1,results/basic_chip/fastq/S2_CTCF200_INPUT_1.fastq.gz,,,
E16.20_INPUT_REP1,results/basic_chip/fastq/E16.20_INPUT.fastq.gz,,,
E12.16_INPUT_REP1,results/basic_chip/fastq/E12.16_INPUT.fastq.gz,,,
E8.12_INPUT_REP1,results/basic_chip/fastq/E8.12_INPUT.fastq.gz,,,
E20.24_INPUT_REP1,results/basic_chip/fastq/E20.24_INPUT.fastq.gz,,,
H3K4me3_S2_cells_ChIP.seq_Input_Rep1_REP1,results/basic_chip/fastq/H3K4me3_S2_cells_ChIP.seq_Input_Rep1.fastq.gz,,,
TCF_nonISO1_0.8_embryonic_ChIP.seq_Input_Rep1_REP1,results/basic_chip/fastq/TCF_nonISO1_0.8_embryonic_ChIP.seq_Input_Rep1.fastq.gz,,,
TCF_16.24.seq_Input_Rep1_REP1,results/basic_chip/fastq/TCF_16.24.seq_Input_Rep1.fastq.gz,,,
TCF_16.24.seq_Input_Rep2_REP1,results/basic_chip/fastq/TCF_16.24.seq_Input_Rep2.fastq.gz,,,
H3K4me1_S2_cells_ChIP.seq_Input_Rep1_REP1,results/basic_chip/fastq/H3K4me1_S2_cells_ChIP.seq_Input_Rep1.fastq.gz,,,
H3K4me1_S2_cells_ChIP.seq_Input_Rep2_REP1,results/basic_chip/fastq/H3K4me1_S2_cells_ChIP.seq_Input_Rep2.fastq.gz,,,
H3K4me3_8.16h_embryonic_ChIP.seq_Input_Rep1_REP1,results/basic_chip/fastq/H3K4me3_8.16h_embryonic_ChIP.seq_Input_Rep1.fastq.gz,,,
H3K4me3_8.16h_embryonic_ChIP.seq_Input_Rep2_REP1,results/basic_chip/fastq/H3K4me3_8.16h_embryonic_ChIP.seq_Input_Rep2.fastq.gz,,,
H3K4me3_S2_cells_ChIP.seq_Input_Rep2_REP1,results/basic_chip/fastq/H3K4me3_S2_cells_ChIP.seq_Input_Rep2.fastq.gz,,,
TCF_nonISO1_0.8_embryonic_ChIP.seq_Input_Rep2_REP1,results/basic_chip/fastq/TCF_nonISO1_0.8_embryonic_ChIP.seq_Input_Rep2.fastq.gz,,,
TCF_0.8h_embryo_ChIP.seq_Input_Rep1_REP1,results/basic_chip/fastq/TCF_0.8h_embryo_ChIP.seq_Input_Rep1.fastq.gz,,,
TCF_0.8h_embryo_ChIP.seq_Input_Rep2_REP1,results/basic_chip/fastq/TCF_0.8h_embryo_ChIP.seq_Input_Rep2.fastq.gz,,,
