sample_name,life_stage_age,simple_biosample_summary,target,input
Scr_ENCSR400ZYC_rep1,embryonic 0-24 hours,embryo (0-24 hours) strain Scr-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster Scr,Scr,input_ENCSR281KJG_rep1
Scr_ENCSR400ZYC_rep2,embryonic 0-24 hours,embryo (0-24 hours) strain Scr-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster Scr,Scr,input_ENCSR281KJG_rep1
Ptx1_ENCSR401EGK_rep1,embryonic 0-24 hours,embryo (0-24 hours) strain Ptx1-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster Ptx1,Ptx1,input_ENCSR914NAI_rep1
Ptx1_ENCSR401EGK_rep2,embryonic 0-24 hours,embryo (0-24 hours) strain Ptx1-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster Ptx1,Ptx1,input_ENCSR914NAI_rep1
Eip75B_ENCSR410UOB_rep1,NA,mixed sex prepupa strain Eip75B-MiMIC-GFP MI03665 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Eip75B,Eip75B,input_ENCSR135XHQ_rep1
Eip75B_ENCSR410UOB_rep2,NA,mixed sex prepupa strain Eip75B-MiMIC-GFP MI03665 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Eip75B,Eip75B,input_ENCSR135XHQ_rep1
Eip75B_ENCSR410UOB_rep3,NA,mixed sex prepupa strain Eip75B-MiMIC-GFP MI03665 genetically modified (insertion) using site-specific recombination targeting D. melanogaster Eip75B,Eip75B,input_ENCSR135XHQ_rep1
gsb-n_ENCSR414EAT_rep1,embryonic 4-14 hours,embryo (4-14 hours) strain gsb-n attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster gsb-n,gsb-n,input_ENCSR067XAN_rep1
gsb-n_ENCSR414EAT_rep2,embryonic 4-14 hours,embryo (4-14 hours) strain gsb-n attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster gsb-n,gsb-n,input_ENCSR067XAN_rep1
gsb-n_ENCSR414EAT_rep3,embryonic 4-14 hours,embryo (4-14 hours) strain gsb-n attP40 genetically modified (insertion) using site-specific recombination targeting D. melanogaster gsb-n,gsb-n,input_ENCSR067XAN_rep1
CG6791_ENCSR414IVJ_rep1,embryonic 0-24 hours,embryo (0-24 hours) strain CG6791-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG6791,CG6791,input_ENCSR946XDT_rep1
CG6791_ENCSR414IVJ_rep2,embryonic 0-24 hours,embryo (0-24 hours) strain CG6791-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG6791,CG6791,input_ENCSR946XDT_rep1
CG6791_ENCSR414IVJ_rep3,embryonic 0-24 hours,embryo (0-24 hours) strain CG6791-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster CG6791,CG6791,input_ENCSR946XDT_rep1
sc_ENCSR415SZP_rep1,embryonic 0-12 hours,embryo (0-12 hours) strain yellow cinnabar brown speck,sc,input_ENCSR414SRZ_rep1
sc_ENCSR415SZP_rep2,embryonic 0-12 hours,embryo (0-12 hours) strain yellow cinnabar brown speck,sc,input_ENCSR414SRZ_rep1
ase_ENCSR415VUK_rep1,embryonic 0-18 hours,embryo (0-18 hours) strain ase-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster ase,ase,input_ENCSR041UFE_rep1
ase_ENCSR415VUK_rep2,embryonic 0-18 hours,embryo (0-18 hours) strain ase-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster ase,ase,input_ENCSR041UFE_rep1
ase_ENCSR415VUK_rep3,embryonic 0-18 hours,embryo (0-18 hours) strain ase-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster ase,ase,input_ENCSR041UFE_rep1
C15_ENCSR417AYH_rep1,embryonic 0-24 hours,embryo (0-24 hours) strain C15-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster C15,C15,input_ENCSR388MKI_rep1
C15_ENCSR417AYH_rep2,embryonic 0-24 hours,embryo (0-24 hours) strain C15-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster C15,C15,input_ENCSR388MKI_rep1
C15_ENCSR417AYH_rep3,embryonic 0-24 hours,embryo (0-24 hours) strain C15-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster C15,C15,input_ENCSR388MKI_rep1
Doc2_ENCSR417DNN_rep1,embryonic 0-18 hours,embryo (0-18 hours) strain Doc2-GFP genetically modified (insertion) using site-specific recombination targeting D. melanogaster Doc2,Doc2,input_ENCSR994IHY_rep1
